"Sample","Bee_spp","Site","Date","Plant_spp_morpho","Count","Observation"
NA,"appositus","Avery.Wash","2015-06-17","Delphinium nuttallianum",5,"Field"
NA,"appositus","Avery.Wash","2015-06-26","Lathyrus lanszwertii",1,"Field"
NA,"appositus","Avery.Wash","2015-07-02","Aquilegia coerulea",1,"Field"
NA,"appositus","Avery.Wash","2015-07-02","Delphinium nuttallianum",1,"Field"
NA,"appositus","Avery.Wash","2015-07-02","Hydrophyllum fendleri",1,"Field"
NA,"appositus","Avery.Wash","2015-07-02","Lathyrus lanszwertii",2,"Field"
NA,"appositus","Avery.Wash","2015-07-02","Vicia americana",3,"Field"
7,"appositus","Avery.Wash","2015-07-02","C",9860,"Microscopy"
7,"appositus","Avery.Wash","2015-07-02","B",64,"Microscopy"
7,"appositus","Avery.Wash","2015-07-02","D",2,"Microscopy"
7,"appositus","Avery.Wash","2015-07-02","CONIFER",5,"Microscopy"
7,"appositus","Avery.Wash","2015-07-02","MERTENSIA",1,"Microscopy"
7,"appositus","Avery.Wash","2015-07-02","ASTERACEAE_1",2,"Microscopy"
7,"appositus","Avery.Wash","2015-07-02","UNKNOWN",1,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","C",279,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","B",1344,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","MERTENSIA",22,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","UNKNOWN",2,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","CONIFER",4,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","ASTERACEAE_1",11,"Microscopy"
8,"appositus","Avery.Wash","2015-07-02","PEDICULARIS",1,"Microscopy"
NA,"appositus","Avery.Wash","2015-07-10","Delphinium barbeyi",2,"Field"
NA,"appositus","Avery.Wash","2015-07-10","Hydrophyllum fendleri",1,"Field"
NA,"appositus","Avery.Wash","2015-07-10","Vicia americana",1,"Field"
NA,"appositus","Avery.Wash","2015-07-16","Vicia americana",1,"Field"
NA,"appositus","Copper.Creek","2015-06-08","Delphinium nuttallianum",1,"Field"
NA,"appositus","Copper.Creek","2015-06-10","Delphinium nuttallianum",3,"Field"
10,"appositus","Copper.Creek","2015-06-14","PEDICULARIS",3453,"Microscopy"
10,"appositus","Copper.Creek","2015-06-14","C",163,"Microscopy"
10,"appositus","Copper.Creek","2015-06-14","UNKNOWN",1,"Microscopy"
10,"appositus","Copper.Creek","2015-06-14","MERTENSIA",1,"Microscopy"
10,"appositus","Copper.Creek","2015-06-14","Epilobium canum",15363,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Agastache pallidiflora",10216,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Mertensia fusiformis",3888,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Mertensia ciliata",3584,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Erigeron grandiflorus",3523,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Taraxacum officinale",2819,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Pseudognaphalium attenuatum",2765,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Cirsium parryi",2458,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Lupinus sericeus",1864,"Molecular"
10,"appositus","Copper.Creek","2015-06-14","Dasiphora fruticosa",1691,"Molecular"
NA,"appositus","Copper.Creek","2015-06-15","Delphinium nuttallianum",6,"Field"
NA,"appositus","Copper.Creek","2015-06-22","Delphinium nuttallianum",7,"Field"
NA,"appositus","Copper.Creek","2015-06-28","Lupinus sericeus",1,"Field"
NA,"appositus","Copper.Creek","2015-06-29","Frasera speciosa",1,"Field"
NA,"appositus","Copper.Creek","2015-06-29","Lupinus sericeus",2,"Field"
NA,"appositus","Copper.Creek","2015-06-29","Vicia americana",2,"Field"
NA,"appositus","Copper.Creek","2015-07-09","Delphinium barbeyi",2,"Field"
NA,"appositus","Copper.Creek","2015-07-09","Helianthella quinquenervis",2,"Field"
NA,"appositus","Copper.Creek","2015-07-09","Vicia americana",1,"Field"
NA,"appositus","Copper.Creek","2015-07-14","Delphinium barbeyi",1,"Field"
NA,"appositus","Copper.Creek","2015-07-14","Pedicularis bracteosa",1,"Field"
1,"appositus","Copper.Creek","2015-07-14","C",336,"Microscopy"
NA,"appositus","Copper.Creek","2015-07-23","Calochortus gunnisonii",1,"Field"
NA,"appositus","Copper.Creek","2015-07-23","Delphinium barbeyi",2,"Field"
NA,"appositus","Copper.Creek","2015-07-23","Erigeron speciosus",1,"Field"
NA,"appositus","Copper.Creek","2015-07-23","Pedicularis procera",2,"Field"
NA,"appositus","Frogs.Pond","2015-06-08","Mertensia fusiformis",1,"Field"
NA,"appositus","Frogs.Pond","2015-06-18","Frasera speciosa",1,"Field"
NA,"appositus","Frogs.Pond","2015-06-28","Delphinium barbeyi",1,"Field"
NA,"appositus","Frogs.Pond","2015-06-28","Frasera speciosa",2,"Field"
NA,"appositus","Frogs.Pond","2015-06-28","Lupinus sericeus",1,"Field"
NA,"appositus","Frogs.Pond","2015-06-29","Delphinium barbeyi",2,"Field"
NA,"appositus","Frogs.Pond","2015-06-29","Frasera speciosa",6,"Field"
NA,"appositus","Frogs.Pond","2015-07-09","Delphinium barbeyi",7,"Field"
NA,"appositus","Frogs.Pond","2015-07-09","Frasera speciosa",1,"Field"
NA,"appositus","Frogs.Pond","2015-07-15","Delphinium barbeyi",3,"Field"
NA,"appositus","Frogs.Pond","2015-07-15","Lupinus sericeus",1,"Field"
NA,"appositus","Frogs.Pond","2015-07-23","Delphinium barbeyi",4,"Field"
NA,"appositus","Gothic.Spires","2015-06-17","Delphinium nuttallianum",5,"Field"
NA,"appositus","Gothic.Spires","2015-06-19","Delphinium nuttallianum",1,"Field"
NA,"appositus","Gothic.Spires","2015-06-26","Linum lewisii",2,"Field"
NA,"appositus","Gothic.Spires","2015-06-26","Delphinium nuttallianum",4,"Field"
NA,"appositus","Gothic.Spires","2015-07-07","Delphinium barbeyi",5,"Field"
2,"appositus","Gothic.Spires","2015-07-09","C",6,"Microscopy"
2,"appositus","Gothic.Spires","2015-07-09","ASTERACEAE_1",56,"Microscopy"
NA,"appositus","Gothic.Spires","2015-07-10","Delphinium barbeyi",2,"Field"
NA,"appositus","Gothic.Spires","2015-07-16","Delphinium barbeyi",2,"Field"
NA,"appositus","Gothic.Spires","2015-07-27","Delphinium barbeyi",1,"Field"
NA,"appositus","Rosy.Hills","2015-06-04","Delphinium nuttallianum",1,"Field"
NA,"appositus","Rosy.Hills","2015-06-14","Delphinium nuttallianum",8,"Field"
4,"appositus","Rosy.Hills","2015-06-14","C",5403,"Microscopy"
4,"appositus","Rosy.Hills","2015-06-14","D",2,"Microscopy"
4,"appositus","Rosy.Hills","2015-06-14","UNKNOWN",4,"Microscopy"
4,"appositus","Rosy.Hills","2015-06-14","Delphinium barbeyi",72446,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Delphinium nuttallianum",48259,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Delphinium gracile",24639,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Symphyotrichum foliaceum",2995,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Trollius europaeus",2473,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Caltha palustris",1676,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Thalictrum tuberosum",1316,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Aquilegia ecalcarata",1118,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Thalictrum thalictroides",950,"Molecular"
4,"appositus","Rosy.Hills","2015-06-14","Viola odorata",770,"Molecular"
NA,"appositus","Rosy.Hills","2015-06-18","Delphinium nuttallianum",1,"Field"
NA,"appositus","Rosy.Hills","2015-06-20","Delphinium nuttallianum",3,"Field"
NA,"appositus","Rosy.Hills","2015-06-23","Delphinium nuttallianum",4,"Field"
NA,"appositus","Rosy.Hills","2015-06-28","Hydrophyllum fendleri",1,"Field"
NA,"appositus","Rosy.Hills","2015-06-28","Lathyrus lanszwertii",1,"Field"
NA,"appositus","Rosy.Hills","2015-06-30","Delphinium barbeyi",1,"Field"
NA,"appositus","Rosy.Hills","2015-06-30","Vicia americana",3,"Field"
NA,"appositus","Rosy.Hills","2015-07-09","Aconitum columbianum",2,"Field"
NA,"appositus","Rosy.Hills","2015-07-09","Delphinium barbeyi",3,"Field"
NA,"appositus","Rosy.Hills","2015-07-09","Helianthella quinquenervis",1,"Field"
NA,"appositus","Rosy.Hills","2015-07-15","Delphinium barbeyi",2,"Field"
NA,"appositus","Rosy.Hills","2015-07-15","Helianthella quinquenervis",1,"Field"
NA,"appositus","Rosy.Hills","2015-07-15","Lupinus sericeus",1,"Field"
NA,"appositus","Rosy.Hills","2015-07-15","Vicia americana",1,"Field"
NA,"appositus","Rosy.Hills","2015-07-22","Agastache urticifolia",1,"Field"
NA,"appositus","Rosy.Hills","2015-07-22","Delphinium barbeyi",1,"Field"
NA,"appositus","Stormy.Pass","2015-06-13","Delphinium nuttallianum",3,"Field"
NA,"appositus","Stormy.Pass","2015-06-18","Delphinium nuttallianum",2,"Field"
NA,"appositus","Stormy.Pass","2015-06-21","Delphinium nuttallianum",15,"Field"
NA,"appositus","Stormy.Pass","2015-06-21","Lathyrus lanszwertii",1,"Field"
3,"appositus","Stormy.Pass","2015-06-21","C",2707,"Microscopy"
3,"appositus","Stormy.Pass","2015-06-21","CONIFER",5,"Microscopy"
3,"appositus","Stormy.Pass","2015-06-21","ASTERACEAE_2",1,"Microscopy"
3,"appositus","Stormy.Pass","2015-06-21","MERTENSIA",1,"Microscopy"
5,"appositus","Stormy.Pass","2015-06-21","C",1130,"Microscopy"
5,"appositus","Stormy.Pass","2015-06-21","CONIFER",2,"Microscopy"
5,"appositus","Stormy.Pass","2015-06-21","UNKNOWN",1,"Microscopy"
5,"appositus","Stormy.Pass","2015-06-21","MERTENSIA",1,"Microscopy"
5,"appositus","Stormy.Pass","2015-06-21","D",1,"Microscopy"
3,"appositus","Stormy.Pass","2015-06-21","Delphinium barbeyi",4681,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Epilobium canum",4381,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Delphinium nuttallianum",3306,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Delphinium gracile",1059,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Pseudognaphalium attenuatum",1045,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Cynoglossum pringlei",413,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Cynoglossum pringlei",413,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Arenaria globiflora",246,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Cirsium parryi",158,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Karpatiosorbus devoniensis",98,"Molecular"
3,"appositus","Stormy.Pass","2015-06-21","Karpatiosorbus devoniensis",98,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","C",1584,"Microscopy"
6,"appositus","Stormy.Pass","2015-06-22","UNKNOWN",2,"Microscopy"
6,"appositus","Stormy.Pass","2015-06-22","MERTENSIA",3,"Microscopy"
6,"appositus","Stormy.Pass","2015-06-22","B",1,"Microscopy"
6,"appositus","Stormy.Pass","2015-06-22","Delphinium barbeyi",28089,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Delphinium nuttallianum",18261,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Delphinium gracile",8231,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Symphyotrichum foliaceum",3684,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Trollius europaeus",751,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Caltha palustris",720,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Thalictrum tuberosum",452,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Aquilegia ecalcarata",441,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Dasiphora fruticosa",438,"Molecular"
6,"appositus","Stormy.Pass","2015-06-22","Hydrophyllum capitatum",405,"Molecular"
NA,"appositus","Stormy.Pass","2015-06-25","Delphinium nuttallianum",4,"Field"
NA,"appositus","Stormy.Pass","2015-06-25","Hydrophyllum fendleri",1,"Field"
NA,"appositus","Stormy.Pass","2015-06-25","Lathyrus lanszwertii",1,"Field"
9,"appositus","Stormy.Pass","2015-06-25","C",1514,"Microscopy"
9,"appositus","Stormy.Pass","2015-06-25","B",234,"Microscopy"
9,"appositus","Stormy.Pass","2015-06-25","UNKNOWN",4,"Microscopy"
9,"appositus","Stormy.Pass","2015-06-25","MERTENSIA",2,"Microscopy"
9,"appositus","Stormy.Pass","2015-06-25","CONIFER",5,"Microscopy"
9,"appositus","Stormy.Pass","2015-06-25","Delphinium barbeyi",29693,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Delphinium nuttallianum",19805,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Hydrophyllum capitatum",10287,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Delphinium gracile",8956,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Vicia americana",3501,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Hydrophyllum canadense",1335,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Symphyotrichum foliaceum",902,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Trollius europaeus",775,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Caltha palustris",699,"Molecular"
9,"appositus","Stormy.Pass","2015-06-25","Thalictrum tuberosum",476,"Molecular"
NA,"appositus","Stormy.Pass","2015-06-30","Delphinium nuttallianum",1,"Field"
NA,"appositus","Stormy.Pass","2015-06-30","Lathyrus lanszwertii",1,"Field"
NA,"appositus","Stormy.Pass","2015-07-13","Delphinium barbeyi",4,"Field"
NA,"appositus","Stormy.Pass","2015-07-16","Delphinium barbeyi",2,"Field"
NA,"bifarius","Avery.Wash","2015-05-29","Mertensia fusiformis",1,"Field"
NA,"bifarius","Avery.Wash","2015-06-02","Mertensia fusiformis",2,"Field"
NA,"bifarius","Avery.Wash","2015-06-07","Mertensia fusiformis",1,"Field"
20,"bifarius","Avery.Wash","2015-06-14","MERTENSIA",2258,"Microscopy"
20,"bifarius","Avery.Wash","2015-06-14","UNKNOWN",3,"Microscopy"
20,"bifarius","Avery.Wash","2015-06-14","C",128,"Microscopy"
20,"bifarius","Avery.Wash","2015-06-14","ASTERACEAE_2",5,"Microscopy"
20,"bifarius","Avery.Wash","2015-06-14","Mertensia ciliata",15434,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Mertensia fusiformis",15386,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Parnassia palustris",3811,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Hydrophyllum fendleri",3119,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Lupinus argenteus",2006,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Erigeron grandiflorus",1530,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Geum ternatum",831,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Lupinus sericeus",829,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Taraxacum officinale",753,"Molecular"
20,"bifarius","Avery.Wash","2015-06-14","Hydrophyllum canadense",705,"Molecular"
NA,"bifarius","Avery.Wash","2015-07-27","Senecio bigelovii",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-01","Claytonia lanceolata",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-01","Erythronium grandiflorum",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-01","Hydrophyllum capitatum",2,"Field"
NA,"bifarius","Copper.Creek","2015-06-01","Mertensia fusiformis",6,"Field"
NA,"bifarius","Copper.Creek","2015-06-04","Hydrophyllum capitatum",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-04","Mertensia fusiformis",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-04","Taraxacum officinale",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-08","Hydrophyllum capitatum",1,"Field"
13,"bifarius","Copper.Creek","2015-06-14","ROSACEAE",603,"Microscopy"
13,"bifarius","Copper.Creek","2015-06-14","ASTERACEAE_2",11,"Microscopy"
13,"bifarius","Copper.Creek","2015-06-14","C",1,"Microscopy"
13,"bifarius","Copper.Creek","2015-06-14","MERTENSIA",16,"Microscopy"
13,"bifarius","Copper.Creek","2015-06-14","UNKNOWN",0,"Microscopy"
NA,"bifarius","Copper.Creek","2015-06-15","Geum trifloum",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-15","Hydrophyllum capitatum",2,"Field"
NA,"bifarius","Copper.Creek","2015-06-15","Hydrophyllum fendleri",2,"Field"
NA,"bifarius","Copper.Creek","2015-06-22","Frasera speciosa",1,"Field"
NA,"bifarius","Copper.Creek","2015-06-29","Hydrophyllum fendleri",1,"Field"
NA,"bifarius","Copper.Creek","2015-07-09","Helianthella quinquenervis",2,"Field"
NA,"bifarius","Copper.Creek","2015-07-09","Lupinus sericeus",1,"Field"
NA,"bifarius","Copper.Creek","2015-07-14","Helianthella quinquenervis",1,"Field"
NA,"bifarius","Copper.Creek","2015-07-23","Senecio bigelovii",1,"Field"
NA,"bifarius","Frogs.Pond","2015-05-27","Mertensia fusiformis",7,"Field"
NA,"bifarius","Frogs.Pond","2015-05-31","Mertensia fusiformis",4,"Field"
NA,"bifarius","Frogs.Pond","2015-06-02","Mertensia fusiformis",9,"Field"
NA,"bifarius","Frogs.Pond","2015-06-12","Frasera speciosa",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-12","Hydrophyllum fendleri",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-12","Taraxacum officinale",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-15","Hydrophyllum fendleri",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-15","Lupinus sericeus",5,"Field"
18,"bifarius","Frogs.Pond","2015-06-15","C",72,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","A",577,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","MERTENSIA",2487,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","ERICACEAE",64,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","UNKNOWN",16,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","ASTERACEAE_1",11,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","D",4,"Microscopy"
18,"bifarius","Frogs.Pond","2015-06-15","Lupinus argenteus",160507,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Mertensia fusiformis",102535,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Vaccinium vitis-idaea",89055,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Populus alba",61979,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Lupinus sericeus",58005,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Mertensia ciliata",35762,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Cynoglossum pringlei",10269,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Cynoglossum pringlei",10269,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Gaultheria prostrata",7709,"Molecular"
18,"bifarius","Frogs.Pond","2015-06-15","Hydrophyllum canadense",7518,"Molecular"
NA,"bifarius","Frogs.Pond","2015-06-18","Frasera speciosa",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-18","Lupinus sericeus",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-18","Senecio integerrimus",3,"Field"
19,"bifarius","Frogs.Pond","2015-06-18","C",1136,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","A",14,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","MERTENSIA",90,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","ASTERACEAE_1",1,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","UNKNOWN",2,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","D",2,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","ERICACEAE",2,"Microscopy"
19,"bifarius","Frogs.Pond","2015-06-18","Hydrophyllum canadense",101079,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Hydrophyllum fendleri",11234,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Lathyrus lanszwertii",9072,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Epilobium canum",4027,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Lupinus argenteus",2447,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Chamaenerion angustifolium",1412,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Nemophila menziesii",1216,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Lupinus sericeus",1132,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Pseudognaphalium attenuatum",837,"Molecular"
19,"bifarius","Frogs.Pond","2015-06-18","Taraxacum officinale",769,"Molecular"
NA,"bifarius","Frogs.Pond","2015-06-29","Hydrophyllum fendleri",1,"Field"
NA,"bifarius","Frogs.Pond","2015-06-29","Lupinus sericeus",1,"Field"
NA,"bifarius","Frogs.Pond","2015-07-09","Helianthella quinquenervis",1,"Field"
NA,"bifarius","Frogs.Pond","2015-07-15","Helianthella quinquenervis",1,"Field"
NA,"bifarius","Frogs.Pond","2015-07-23","Helianthella quinquenervis",1,"Field"
NA,"bifarius","Gothic.Spires","2015-05-29","Claytonia lanceolata",2,"Field"
NA,"bifarius","Gothic.Spires","2015-05-29","Salix sp",2,"Field"
NA,"bifarius","Gothic.Spires","2015-05-29","Taraxacum officinale",2,"Field"
NA,"bifarius","Gothic.Spires","2015-06-02","Erythronium grandiflorum",1,"Field"
NA,"bifarius","Gothic.Spires","2015-06-02","Hydrophyllum capitatum",1,"Field"
NA,"bifarius","Gothic.Spires","2015-06-02","Taraxacum officinale",2,"Field"
NA,"bifarius","Gothic.Spires","2015-06-07","Hydrophyllum capitatum",1,"Field"
NA,"bifarius","Gothic.Spires","2015-06-07","Mertensia fusiformis",1,"Field"
NA,"bifarius","Gothic.Spires","2015-06-07","Taraxacum officinale",9,"Field"
14,"bifarius","Gothic.Spires","2015-06-14","C",3352,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","MERTENSIA",114,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","ASTERACEAE_2",27,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","D",1,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","ASTERACEAE_1",1,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","UNKNOWN",2,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","CONIFER",2,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","ASTERACEAE_2",584,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","A",158,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","UNKNOWN",49,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","GROSSULARIACEAE",46,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","C",35,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","MERTENSIA",6,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","ASTERACEAE_1",1,"Microscopy"
15,"bifarius","Gothic.Spires","2015-06-14","CONIFER",1,"Microscopy"
21,"bifarius","Gothic.Spires","2015-06-14","C",2707,"Microscopy"
21,"bifarius","Gothic.Spires","2015-06-14","ASTERACEAE_2",11,"Microscopy"
21,"bifarius","Gothic.Spires","2015-06-14","MERTENSIA",7,"Microscopy"
21,"bifarius","Gothic.Spires","2015-06-14","UNKNOWN",5,"Microscopy"
14,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum canadense",36918,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum fendleri",11722,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Lathyrus lanszwertii",3012,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Symphyotrichum foliaceum",2178,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Taraxacum officinale",1690,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Mertensia fusiformis",1481,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Mertensia ciliata",871,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum capitatum",796,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Chamaenerion angustifolium",664,"Molecular"
14,"bifarius","Gothic.Spires","2015-06-14","Lupinus argenteus",606,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Epilobium canum",27119,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Taraxacum officinale",10455,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Pseudognaphalium attenuatum",4766,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Karpatiosorbus devoniensis",4123,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Karpatiosorbus devoniensis",4123,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Cynoglossum pringlei",2672,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Cynoglossum pringlei",2672,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum fendleri",2213,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Micromeles japonica",2106,"Molecular"
15,"bifarius","Gothic.Spires","2015-06-14","Micromeles japonica",2106,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum fendleri",17841,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum canadense",4249,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Parnassia palustris",1761,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Hydrophyllum capitatum",709,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Erigeron grandiflorus",346,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Taraxacum officinale",337,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Lupinus sericeus",321,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Geum ternatum",300,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Mertensia fusiformis",299,"Molecular"
21,"bifarius","Gothic.Spires","2015-06-14","Cirsium parryi",260,"Molecular"
NA,"bifarius","Gothic.Spires","2015-06-17","Mertensia ciliata",1,"Field"
NA,"bifarius","Gothic.Spires","2015-06-17","Taraxacum officinale",5,"Field"
NA,"bifarius","Gothic.Spires","2015-06-19","Senecio integerrimus",1,"Field"
NA,"bifarius","Gothic.Spires","2015-06-26","Dodecatheon pulchellum",3,"Field"
NA,"bifarius","Gothic.Spires","2015-06-26","Hydrophyllum fendleri",2,"Field"
NA,"bifarius","Gothic.Spires","2015-07-10","Helianthella quinquenervis",1,"Field"
NA,"bifarius","Rosy.Hills","2015-05-28","Mertensia fusiformis",8,"Field"
NA,"bifarius","Rosy.Hills","2015-05-31","Mertensia fusiformis",4,"Field"
NA,"bifarius","Rosy.Hills","2015-06-02","Mertensia fusiformis",3,"Field"
NA,"bifarius","Rosy.Hills","2015-06-04","Mertensia fusiformis",3,"Field"
NA,"bifarius","Rosy.Hills","2015-06-08","Mertensia fusiformis",4,"Field"
NA,"bifarius","Rosy.Hills","2015-06-14","Mertensia fusiformis",1,"Field"
NA,"bifarius","Rosy.Hills","2015-06-20","Hydrophyllum fendleri",1,"Field"
