site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll,pollen.load,pollen.collected,notes,nest.search.fl.abun,nest.search.substrate,fl.switch.1,fl.switch.1.resource.coll,fl.switch.2,fl.switch.2.resource.coll
Avery.Wash,AW,2015,29-May-15,149,3,JEO,4:08:00 pm,5:08:00 pm,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,aspen,a,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Hydrophyllum.capitatum,,no,,buzzing,,,Claytonia.lanceolata,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Hydrophyllum.capitatum,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,californicus,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Erythronium.grandiflorum,,no,,,,,,,,
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Claytonia.lanceolata,,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,nectar,no,,,,,,,,
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,1,Bombus,californicus,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,1,Bombus,bifarius,q,frg,Taraxacum.officinale,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,1,Bombus,bifarius,q,frg,Taraxacum.officinale,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,1,Bombus,californicus,q,frg,Erythronium.grandiflorum,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,1,Bombus,bifarius,q,frg,Claytonia.lanceolata,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,frg,Claytonia.lanceolata,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,frg,Salix.sp,,no,,,,,,,,
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,1,Bombus,bifarius,q,frg,Salix.sp,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg+ns,Mertensia.fusiformis,,no,,while nest searching,,,,,,
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,1,Bombus,californicus,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,1,Bombus,californicus,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,aspen,a,1,Bombus,flavifrons,q,frg,Hydrophyllum.capitatum,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Hydrophyllum.capitatum,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,dry,d,1,Bombus,californicus,q,frg,Delphinium.nuttallianum,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Taraxacum.officinale,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,wet,w,1,Bombus,californicus,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,wet,w,1,Bombus,californicus,q,frg,Erythronium.grandiflorum,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,wet,w,1,Bombus,flavifrons,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,wet,w,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,wet,w,1,Bombus,rufocinctus.orange,q,frg,Mertensia.fusiformis,,no,,,,,,,,
Frogs.Pond,FP,2015,2-Jun-15,153,4,JEO,3:45:00 pm,4:45:00 pm,60,clear.warm,dry,d,1,Bombus,bifarius,q,frg,Mertensia.fusiformis,,no,,,,,,,,
